# Couche française pour verbs.txt. L'allemand n'est jamais traduit : les
# formes, la rection et l'exemple restent tels quels — c'est ce qu'on apprend.
#
# =radical|sens
# verbe|sens|à l'usage|traduction de l'exemple

=nehmen|prendre
hervorheben|souligner, mettre en avant|« besonders hervorheben » = souligner tout particulièrement|Il a souligné son mérite.
anheben|augmenter légèrement (prix, salaires)|actualités économiques|Les salaires sont revalorisés.
ausheben|creuser ; démanteler (un gang)|« eine Bande ausheben » — police|La police a démantelé le réseau.
verheben|se faire mal au dos en soulevant (sich verheben)|« ich habe mich verhoben » = je me suis fait mal au dos|Je me suis fait mal au dos pendant le déménagement.

=kaufen|acheter
kaufen|acheter|« dafür kann ich mir nichts kaufen » = ça ne me sert à rien|J'achète un nouveau vélo.
verkaufen|vendre|« sich gut verkaufen » = bien se vendre, ou savoir se mettre en valeur|Il vend sa voiture.
einkaufen|faire des courses ; entrer dans une entreprise (sich einkaufen)|« einkaufen gehen » = aller faire les courses|Je vais vite faire les courses.
abkaufen|acheter à quelqu'un ; croire quelqu'un|« das kauf ich dir nicht ab » = je ne te crois pas|Je vais t'acheter ton vélo.
aufkaufen|racheter, accaparer|actualités économiques|Le groupe rachète l'entreprise.
ankaufen|acheter, réceptionner (dans le commerce)|langage des rachats : « Gold ankaufen » = rachat d'or|On rachète l'or usagé.
zukaufen|acheter en complément, sous-traiter|achats d'entreprise|Les pièces sont sous-traitées.
freikaufen|racheter la liberté de ; se racheter (sich freikaufen)|« sich freikaufen » = se racheter|Il a racheté sa liberté.

=leiten|diriger
leiten|diriger, gérer ; conduire (chaleur, courant)|« eine Abteilung leiten » — organigramme|Elle dirige le projet.
ableiten|déduire (une conséquence) ; dériver (l'eau)|« daraus lässt sich ableiten, dass… » = on peut en déduire que…|Le mot vient du latin.
einleiten|entamer, engager (une procédure) ; introduire (un texte)|« Maßnahmen einleiten » — prise de mesures officielles|La procédure a été engagée.
weiterleiten|transmettre, faire suivre|le verbe de bureau quotidien : « die Mail weiterleiten »|Je transmettrai la demande.
umleiten|dévier, détourner|« der Verkehr wird umgeleitet » = la circulation est déviée|La route a été déviée.
begleiten|accompagner ; jouer en accompagnement|« jemanden begleiten » — dans la vie comme en musique|Je peux venir avec vous ?
verleiten|entraîner, pousser à quelque chose|« zum Kauf verleiten » — publicité|Ça pousse à faire des erreurs.
anleiten|encadrer, guider|« Auszubildende anleiten » = encadrer des apprentis|Il encadre les stagiaires.
überleiten|passer, faire la transition (à un sujet)|présentations : « zum nächsten Punkt überleiten »|Elle a fait la transition vers les conclusions.

=ordnen|ranger, classer
ordnen|mettre en ordre, classer|« seine Gedanken ordnen » = mettre de l'ordre dans ses idées|Je range mes papiers.
einordnen|classer ; classer (dans un dossier) ; se rabattre (voiture)|« sich einordnen » — sur la route comme dans un groupe|Comment tu classes ça ?
anordnen|ordonner, prescrire ; disposer|« der Arzt hat Ruhe angeordnet » = le médecin a prescrit du repos|Le chef a ordonné des heures supplémentaires.
zuordnen|attribuer, associer à|« einer Kategorie zuordnen » = classer dans une catégorie|Je n'arrive pas à situer ce tableau.
unterordnen|subordonner ; se soumettre (sich unterordnen)|entretiens d'embauche : « sich unterordnen können »|Il n'aime pas se plier aux règles.
verordnen|prescrire, ordonner|« der Arzt verordnet Ruhe » = le médecin prescrit du repos|On lui a prescrit du repos.
umordnen|réorganiser, réagencer|« die Möbel umordnen » = réagencer les meubles|On réagence les étagères.

=passen|convenir, aller
passen|aller (taille) ; convenir ; passer (au jeu)|« das passt mir gut » = ça me convient bien|Cette date ne me convient pas.
anpassen|adapter ; s'adapter (sich anpassen)|« sich anpassen » — pour l'intégration comme pour le bureau|On ajuste les prix.
aufpassen|faire attention ; surveiller|« pass auf! » = attention ! et « auf die Kinder aufpassen »|Fais attention à toi !
verpassen|manquer (un train, une occasion) ; infliger quelque chose à quelqu'un|« den Zug verpassen » = rater son train ; « eine Strafe verpassen » = infliger une amende|J'ai raté le bus.
einpassen|ajuster à sa place|menuiserie : « ein Brett einpassen » = ajuster une planche|La pièce est ajustée avec précision.
abpassen|guetter, saisir le bon moment|« den richtigen Moment abpassen » = saisir le bon moment|Je l'ai guetté à la sortie.

=rechnen|calculer, compter
rechnen|calculer ; s'attendre à (mit +D)|« damit habe ich nicht gerechnet » = je ne m'attendais pas à ça|Je m'attends au pire.
berechnen|calculer ; facturer|« wir berechnen Ihnen nichts » = on ne vous facture rien|Le prix est calculé automatiquement.
verrechnen|imputer, compenser ; se tromper dans ses calculs (sich verrechnen)|« ich habe mich verrechnet » = je me suis trompé|Ça sera déduit du loyer.
anrechnen|prendre en compte ; savoir gré à quelqu'un|« das rechne ich dir hoch an » = je t'en suis très reconnaissant|Le stage est pris en compte.
ausrechnen|calculer, chiffrer|« rechne dir das mal aus! » = fais le calcul toi-même !|Je vais calculer les frais.
abrechnen|faire les comptes, facturer ; régler ses comptes|« mit jemandem abrechnen » = régler ses comptes avec quelqu'un|On règle les comptes en fin de mois.
einrechnen|inclure dans le calcul|« die Pause ist eingerechnet » = la pause est incluse|La taxe est déjà incluse.
nachrechnen|recalculer, vérifier un calcul|« rechne mal nach! » = recalcule !|Recomptez, s'il vous plaît.
hochrechnen|extrapoler, projeter|vocabulaire des soirées électorales|Les chiffres sont extrapolés.

=reden|parler
reden|parler, discuter|plus familier que « sprechen » : « wir müssen reden » = il faut qu'on parle|On en reparlera plus tard.
überreden|persuader|« lass dich nicht überreden! » = ne te laisse pas convaincre !|Il m'a convaincu.
verabreden|convenir d'un rendez-vous (sich verabreden)|« ich bin verabredet » = j'ai rendez-vous|On s'est donné rendez-vous vendredi.
einreden|persuader, suggérer ; se persuader soi-même|« rede dir nichts ein! » = ne te fais pas d'idées !|Il se l'est simplement mis en tête.
ausreden|finir de parler ; dissuader quelqu'un|« lass mich ausreden! » = laisse-moi finir !|Je le dissuade de faire ça.
mitreden|prendre part à la conversation, avoir voix au chapitre|« da kann ich mitreden » = là, j'ai mon mot à dire|Sur ce sujet, j'ai mon mot à dire.
nachreden|répéter après quelqu'un ; médire de quelqu'un|« jemandem etwas nachreden » = dire du mal de quelqu'un dans son dos|On médit de lui.
zureden|encourager, persuader gentiment (+D)|« gut zureden » = encourager avec douceur|J'ai dû longuement la convaincre.

=schalten|commuter, changer de vitesse
schalten|commuter ; changer de vitesse ; piger|« er schaltet schnell » = il pige vite|Il passe la troisième.
einschalten|allumer ; faire intervenir quelqu'un (sich einschalten)|« den Anwalt einschalten » = faire intervenir l'avocat|Allumez la lumière, s'il vous plaît.
ausschalten|éteindre ; éliminer (un concurrent)|« die Konkurrenz ausschalten » = éliminer la concurrence|N'oublie pas d'éteindre la cuisinière.
umschalten|changer (de chaîne, de mode)|« auf ein anderes Programm umschalten » = changer de chaîne|Tu peux changer de chaîne ?
abschalten|couper, arrêter ; décrocher mentalement|« ich muss mal abschalten » = j'ai besoin de décrocher|La centrale est mise à l'arrêt.
anschalten|allumer (un appareil)|double familier d'« einschalten »|Allume la télé.
zuschalten|mettre en relation (une ligne, un studio)|antenne : « wir schalten Berlin zu » = nous passons l'antenne à Berlin|On met le correspondant en ligne.
freischalten|activer, débloquer l'accès|télécoms et assistance technique|La carte SIM est activée aussitôt.

=schicken|envoyer
schicken|envoyer|« schick mir mal die Datei » = envoie-moi le fichier|Je t'enverrai l'adresse.
verschicken|expédier, envoyer en masse|« Einladungen verschicken » = envoyer les invitations|Les factures ont été envoyées.
abschicken|envoyer, expédier|« hast du den Brief abgeschickt? » = tu as envoyé la lettre ?|J'ai envoyé le formulaire.
zurückschicken|renvoyer|sites de vente en ligne : « die Ware zurückschicken » = renvoyer la marchandise|Je renvoie les chaussures.
mitschicken|joindre, envoyer avec|« ich schicke die Rechnung mit » = je joins la facture|Je joindrai le reçu.
einschicken|envoyer par courrier (un formulaire, une demande)|« das Gerät einschicken » — garantie|Envoyez le formulaire.
wegschicken|renvoyer, congédier|« jemanden wegschicken » — de façon abrupte|Il a congédié le représentant.
nachschicken|faire suivre (le courrier)|« die Post nachschicken lassen » = faire suivre le courrier|Le courrier est réexpédié.

=sorgen|se soucier, veiller
sorgen|veiller à (für +A) ; s'inquiéter (sich sorgen)|« dafür ist gesorgt » = c'est réglé, on s'en est occupé|Je m'occupe du repas.
versorgen|approvisionner, subvenir aux besoins ; soigner|« die Familie versorgen » = subvenir aux besoins de la famille|Il s'occupe des animaux.
besorgen|se procurer, acheter ; s'occuper de démarches|« kannst du das besorgen? » — usage courant|Je vais me procurer les billets.
entsorgen|éliminer, se débarrasser de (déchets)|« Altöl entsorgen » — recyclage|Où déposer les piles usagées ?
vorsorgen|prévoir, se prémunir à l'avance|« fürs Alter vorsorgen » — retraite|Il faut y penser dès le plus jeune âge.
umsorgen|entourer de soins, choyer|chaleureux, un peu littéraire|Elle est aux petits soins pour ses invités.

=sperren|bloquer, fermer
sperren|bloquer, fermer ; interdire (une carte, un joueur)|« die Karte sperren lassen » = faire bloquer sa carte|La route est fermée.
absperren|boucler, isoler ; barrer|« das Gelände absperren » — ruban de police|La police a bouclé la place.
aussperren|se retrouver à la porte, fermer dehors|« ich habe mich ausgesperrt » = je me suis retrouvé à la porte|Je me suis retrouvé dehors sans les clés.
einsperren|enfermer|« jemanden einsperren » = enfermer quelqu'un|Le chien n'est pas enfermé.
versperren|obstruer, barrer|« den Weg versperren » = barrer le chemin|Le camion obstrue la vue.
aufsperren|ouvrir avec une clé ; ouvrir grand (en Autriche et Bavière)|équivalent régional d'« aufschließen »|Ouvrez la porte, s'il vous plaît.
zusperren|fermer à clé (Allemagne du Sud)|« zusperren » là où le nord dit « abschließen »|On ferme à six heures.

=stimmen|être exact, voter
stimmen|être exact ; voter ; accorder (un instrument)|« stimmt! » = c'est ça ! et « stimmt so » = gardez la monnaie|Ce n'est pas exact.
bestimmen|déterminer, décider ; fixer|« du hast hier nichts zu bestimmen » = tu n'as rien à décider ici|Qui décide de ça ?
zustimmen|être d'accord (+D)|« da stimme ich dir zu » — accord poli|Je suis tout à fait d'accord avec toi.
abstimmen|voter ; se concerter|« sich mit jemandem abstimmen » — travail en équipe|On vote là-dessus demain.
übereinstimmen|coïncider, concorder|« die Zahlen stimmen überein » = les chiffres concordent|Nos calculs concordent.
einstimmen|se mettre dans l'ambiance (sich einstimmen) ; reprendre en chœur (une chanson)|« sich auf Weihnachten einstimmen » = se mettre dans l'esprit de Noël|La chanson a mis tout le monde dans l'ambiance.
verstimmen|contrarier, vexer ; désaccorder (un instrument)|« verstimmt sein » = être vexé, ou désaccordé pour un instrument|La remarque l'a vexé.
umstimmen|faire changer d'avis|« er ließ sich umstimmen » = il s'est laissé convaincre|J'ai réussi à la faire changer d'avis.

=streichen|peindre, caresser
streichen|peindre ; caresser ; barrer, rayer|« frisch gestrichen! » = attention, peinture fraîche !|On peint le mur en blanc.
unterstreichen|souligner|« das möchte ich unterstreichen » = je tiens à le souligner|L'orateur a souligné l'importance de la chose.
durchstreichen|barrer, rayer|« streich das durch » = raye ça|Raye cette phrase.
anstreichen|peindre ; marquer, cocher|« Fehler anstreichen » — correction de copies|Le professeur marque les fautes.
bestreichen|tartiner, enduire|« das Brot mit Butter bestreichen » — recettes|Badigeonnez la pâte d'œuf.
ausstreichen|rayer, effacer ; lisser|« das Wort ausstreichen » = rayer le mot|Il a rayé le nom.
einstreichen|empocher (de l'argent)|« den Gewinn einstreichen » — avec une pointe d'ironie|Il a empoché la prime.

=tauschen|échanger
tauschen|échanger, troquer|« wollen wir tauschen? » = on échange ?|On échange de place.
austauschen|échanger ; remplacer|« Erfahrungen austauschen » — échange d'expérience|On échange les pièces.
umtauschen|échanger (un achat, une devise)|« kann ich das umtauschen? » — en magasin|Je voudrais échanger ce pull.
eintauschen|troquer contre, échanger en reprise|« das Auto eintauschen » = reprendre la voiture en échange|Il a repris sa voiture en échange d'une neuve.
vertauschen|intervertir, confondre par erreur|« die Koffer vertauschen » = confondre les valises|On a confondu nos vestes.
abtauschen|échanger (une pièce aux échecs)|échecs et commentaires de football|Il a échangé sa dame.

=werten|évaluer
werten|évaluer ; considérer comme|« als Erfolg werten » = considérer comme un succès|Comment évalues-tu le résultat ?
bewerten|évaluer, noter|« eine Leistung bewerten » — école et applications mobiles|Merci d'évaluer notre service.
auswerten|analyser, dépouiller (des données)|« die Umfrage auswerten » = dépouiller le sondage|Les données sont encore analysées.
abwerten|dévaluer ; dénigrer|« eine Währung abwerten » = dévaluer une monnaie ; « jemanden abwerten » = rabaisser quelqu'un|La monnaie a été dévaluée.
aufwerten|valoriser, revaloriser|« das Viertel aufwerten » — gentrification|Le prix valorise le statut du projet.
verwerten|exploiter, valoriser|« Abfall verwerten » = valoriser les déchets ; « Informationen verwerten » = exploiter des informations|On peut faire quelque chose des restes.
entwerten|composter (un billet) ; dévaloriser|« den Fahrschein entwerten » — tramways|Composez votre billet, s'il vous plaît.

=zahlen|payer
zahlen|payer|« zahlen, bitte! » = l'addition, s'il vous plaît !|Je paie en liquide.
bezahlen|payer, régler quelqu'un|« hast du schon bezahlt? » — la forme la plus complète à l'oral|Il a réglé l'addition.
auszahlen|verser ; être rentable (sich auszahlen)|« das zahlt sich aus » = ça vaut le coup|Le salaire sera versé demain.
einzahlen|verser (sur un compte)|« Geld einzahlen » — au guichet de la banque|Je verse 500 euros.
zurückzahlen|rembourser|« ich zahle es dir zurück » = je te rembourserai|Il rembourse son crédit.
anzahlen|verser un acompte|« das Auto anzahlen » = verser un acompte pour la voiture|On a versé vingt pour cent d'acompte.
nachzahlen|payer un complément|« Steuern nachzahlen » — redressement fiscal|J'ai dû payer 300 euros de complément.
abzahlen|rembourser par mensualités|« den Kredit abzahlen » = rembourser un crédit|On rembourse la maison à crédit.
zuzahlen|payer un supplément|vocabulaire de l'assurance maladie|Vous devez payer dix euros de supplément.

=zählen|compter
zählen|compter ; compter, avoir de l'importance|« das zählt nicht! » = ça ne compte pas !|Il compte jusqu'à dix.
erzählen|raconter|« erzähl mal! » = raconte !|Raconte-moi ton voyage.
aufzählen|énumérer|« alle Gründe aufzählen » = énumérer toutes les raisons|Il a énuméré les avantages.
abzählen|décompter|« an den Fingern abzählen » = compter sur ses doigts|Compte la monnaie.
mitzählen|compter, être pris en compte|« zählt das mit? » = ça compte ?|La période d'essai est prise en compte.
nachzählen|recompter|« noch mal nachzählen » = recompter|Recomptez, s'il vous plaît.
zusammenzählen|additionner|« alles zusammenzählen » = additionner le tout|Additionne les montants.
dazuzählen|ajouter au compte, inclure|« die Kinder dazuzählen » = compter aussi les enfants|Ajoute les frais.

=packen|attraper ; emballer
packen|attraper, saisir ; emballer, gérer (familier)|« ich pack das nicht » = je n'y arrive pas, je craque|Elle l'attrape par le bras.
einpacken|emballer, faire ses valises|« du kannst einpacken » = tu peux plier bagage, c'est fichu pour toi|Je fais mes valises.
auspacken|déballer ; tout balancer, avouer (à la police, à la presse)|« er hat ausgepackt » = il a craché le morceau, tout avoué|Les enfants déballent les cadeaux.
verpacken|emballer (un produit)|la formule sur chaque colis : « verpackt und versandt » = emballé et expédié|Le produit est emballé de façon écologique.
anpacken|s'attaquer à (un problème), empoigner|« mit anpacken » = mettre la main à la pâte|Il faut s'attaquer à ce problème.
zupacken|mettre la main à la pâte, ne pas avoir froid aux yeux|« kräftig zupacken » — se dit de quelqu'un qui n'a pas peur de l'effort|Elle met la main à la pâte quand il le faut.

=lernen|apprendre
lernen|apprendre, étudier|« lernen » pour l'école et les compétences, « studieren » seulement pour l'université|Il apprend du vocabulaire tous les jours.
erlernen|apprendre, acquérir (une compétence, plus soutenu que lernen)|le mot des CV et des descriptions de formation : « eine Sprache erlernen »|Elle a appris le métier en trois ans.
verlernen|désapprendre, perdre (une compétence faute de pratique)|« das verlernt man nie » = ça ne s'oublie pas, comme le vélo|J'ai presque désappris à danser.
anlernen|former (un nouvel employé), montrer les ficelles|le mot de la première semaine au travail : « jemanden anlernen »|Le maître forme la nouvelle apprentie.
umlernen|se reconvertir, apprendre autre chose|reconversion professionnelle : « beruflich umlernen müssen »|Après son licenciement, il a dû se reconvertir.
auslernen|terminer sa formation ; presque toujours à la forme négative|expression figée : « man lernt nie aus » = on n'arrête jamais d'apprendre|On n'arrête vraiment jamais d'apprendre.

=schauen|regarder
schauen|regarder|variante sud-allemande/autrichienne/suisse de « gucken » ; « schau mal! » = regarde-moi ça !|Regarde comme c'est beau !
anschauen|regarder (un film, sich etwas anschauen)|« schauen wir uns das an » — la façon habituelle de proposer de regarder quelque chose ensemble|On regarde un film ce soir.
zuschauen|regarder, observer (bei +D)|le mot pour un spectateur sur place, pas devant un écran|Les enfants regardent les artisans travailler.
wegschauen|détourner le regard, fermer les yeux (sur quelque chose)|registre moral : « wegschauen, wenn etwas Schlimmes passiert »|Beaucoup ont simplement détourné le regard.
vorbeischauen|passer voir, faire un saut (visite informelle)|la façon décontractée de dire qu'on va passer ; se conjugue avec sein, comme une visite|Je passerai te voir plus tard.
nachschauen|vérifier, aller voir|« schau mal nach, ob… » — la façon courante de demander à quelqu'un de vérifier|Tu peux vérifier si la porte est fermée ?

=bilden|former ; éduquer
bilden|former, constituer ; éduquer, cultiver (l'esprit)|« sich bilden » = s'instruire, se cultiver|Les élèves forment un groupe.
ausbilden|former (professionnellement), qualifier (des apprentis)|le mot derrière « Ausbildung » — dans chaque offre d'emploi|L'entreprise forme dix apprentis.
fortbilden|se former en continu, se perfectionner (sich fortbilden)|un peu plus soutenu que weiterbilden|Les enseignants doivent se former régulièrement.
weiterbilden|se perfectionner, continuer sa formation (sich weiterbilden)|le mot courant pour la formation continue|Je veux me perfectionner professionnellement.
umbilden|remanier (un gouvernement), réorganiser|registre politique : « die Regierung umbilden »|Le président remanie le gouvernement.
einbilden|s'imaginer, se figurer (à tort, presque toujours avec « sich etwas einbilden »)|« eingebildet » comme adjectif = prétentieux, imbu de soi-même|Tu te l'imagines, c'est tout.

=kochen|cuisiner ; bouillir
kochen|cuisiner ; bouillir|« ich koche » = je prépare le dîner, la façon la plus courante de le dire|Elle cuisine pour la famille tous les soirs.
abkochen|faire bouillir (l'eau) pour la purifier|vocabulaire du camping et de la survie : « Wasser abkochen » avant de la boire|Au camp, on doit faire bouillir l'eau.
verkochen|trop cuire, réduire jusqu'à se déliter|mésaventure de cuisine : « die Kartoffeln sind verkocht »|La soupe a complètement réduit.
auskochen|stériliser en faisant bouillir ; manigancer, mijoter un plan (familier)|« was hast du da wieder ausgekocht? » = qu'est-ce que tu as encore manigancé ?|Ils ont mijoté un plan tous les deux.
einkochen|conserver, mettre en conserve (fruits ou légumes)|le mot traditionnel de la cuisine familiale : « Marmelade einkochen »|Ma grand-mère fait des confitures tous les étés.
