# Русский слой к verbs.txt. Немецкое не переводится: формы, управление и
# пример остаются как есть — их и учат.
#
# =корень|значение
# глагол|значение|как говорят|перевод примера

=nehmen|брать
freischalten|активировать, открывать доступ|связь и техподдержка|SIM-карту активируют сразу.

=schicken|посылать
schicken|посылать, отправлять|«schick mir mal die Datei» = скинь мне файл|Я пришлю тебе адрес.
verschicken|рассылать|«Einladungen verschicken» = разослать приглашения|Счета разослали.
abschicken|отправлять|«hast du den Brief abgeschickt?» = ты отправил письмо?|Я отправил бланк.
zurückschicken|отправлять обратно, возвращать|интернет-магазины: «die Ware zurückschicken» = вернуть товар|Я возвращаю туфли.
mitschicken|прикладывать, отправлять вместе|«ich schicke die Rechnung mit» = счёт прилагаю|Я приложу чек.
einschicken|высылать, отправлять (бланк, заявку)|«das Gerät einschicken» — гарантия|Отправьте бланк.
wegschicken|отсылать, выпроваживать|«jemanden wegschicken» — резко|Он выпроводил торгового агента.
nachschicken|пересылать вслед (почту)|«die Post nachschicken lassen» = оформить пересылку почты|Письма пересылают.

=sorgen|заботиться
sorgen|позаботиться (für +A); тревожиться (sich sorgen)|«dafür ist gesorgt» = об этом позаботились|Я позабочусь о еде.
versorgen|снабжать, обеспечивать; ухаживать|«die Familie versorgen» = содержать семью|Он ухаживает за животными.
besorgen|доставать, покупать; выполнять поручения|«kannst du das besorgen?» — бытовое|Я достану билеты.
entsorgen|утилизировать (отходы)|«Altöl entsorgen» — немецкий из мира переработки|Куда сдать батарейки?
vorsorgen|позаботиться заранее|«fürs Alter vorsorgen» — пенсионное|Заботиться об этом надо смолоду.
umsorgen|окружать заботой, хлопотать вокруг|тёплое, слегка книжное|Она хлопочет вокруг гостей.

=sperren|блокировать, запирать
sperren|перекрывать, блокировать; блокировать (карту, игрока)|«die Karte sperren lassen» = заблокировать карту|Дорога перекрыта.
absperren|оцеплять; запирать|«das Gelände absperren» — полицейская лента|Полиция оцепила площадь.
aussperren|не впускать, запирать снаружи|«ich habe mich ausgesperrt» = я захлопнул дверь|Я захлопнул дверь без ключей.
einsperren|запирать, сажать под замок|«jemanden einsperren» = запереть кого-то|Собака не заперта.
versperren|загораживать, преграждать|«den Weg versperren» = преградить путь|Грузовик загораживает обзор.
aufsperren|отпирать; разевать (в Австрии и Баварии)|региональная замена «aufschließen»|Отоприте, пожалуйста, дверь.
zusperren|запирать (юг Германии)|южное «zusperren» там, где на севере «abschließen»|Мы запираем в шесть.

=stimmen|быть верным, голосовать
stimmen|быть верным; голосовать; настраивать (инструмент)|«stimmt!» = верно! и «stimmt so» = сдачи не надо|Это неверно.
bestimmen|определять, решать; задавать|«du hast hier nichts zu bestimmen» = не тебе здесь решать|Кто это решает?
zustimmen|соглашаться (+D)|«da stimme ich dir zu» — вежливое согласие|Полностью с тобой согласен.
abstimmen|голосовать; согласовывать|«sich mit jemandem abstimmen» — командная работа|Завтра мы по этому голосуем.
übereinstimmen|совпадать, сходиться|«die Zahlen stimmen überein» = цифры сходятся|Наши расчёты сходятся.
einstimmen|настраиваться (sich einstimmen); подхватывать (песню)|«sich auf Weihnachten einstimmen» = настроиться на Рождество|Песня всех настроила.
verstimmen|расстраивать, задевать; расстраивать (инструмент)|«verstimmt sein» = быть задетым, или расстроенным (об инструменте)|Замечание его задело.
umstimmen|переубеждать|«er ließ sich umstimmen» = он дал себя переубедить|Мне удалось её переубедить.

=streichen|красить, гладить
streichen|красить; гладить; вычёркивать|«frisch gestrichen!» = осторожно, окрашено|Мы красим стену в белый.
unterstreichen|подчёркивать|«das möchte ich unterstreichen» = я хочу это подчеркнуть|Докладчик подчеркнул важность.
durchstreichen|зачёркивать|«streich das durch» = зачеркни|Зачеркни это предложение.
anstreichen|окрашивать; отмечать, помечать|«Fehler anstreichen» — проверка тетрадей|Учитель отмечает ошибки.
bestreichen|намазывать, смазывать|«das Brot mit Butter bestreichen» — рецепты|Смажьте тесто яйцом.
ausstreichen|вычёркивать; разглаживать|«das Wort ausstreichen» = вычеркнуть слово|Он вычеркнул имя.
einstreichen|прикарманивать, загребать (деньги)|«den Gewinn einstreichen» — с лёгкой издёвкой|Он прикарманил премию.

=tauschen|меняться
tauschen|меняться, обмениваться|«wollen wir tauschen?» = поменяемся?|Мы меняемся местами.
austauschen|обмениваться; заменять|«Erfahrungen austauschen» — обмен опытом|Мы меняем детали.
umtauschen|обменивать (покупку, валюту)|«kann ich das umtauschen?» — в магазине|Я хотел бы обменять свитер.
eintauschen|сдавать в зачёт, менять на что-л.|«das Auto eintauschen» = сдать машину в зачёт|Он сдал машину в зачёт новой.
vertauschen|перепутать, поменять по ошибке|«die Koffer vertauschen» = перепутать чемоданы|Мы перепутали куртки.
abtauschen|разменивать (фигуры), меняться|шахматы и футбольные комментарии|Он разменял ферзя.

=werten|оценивать
werten|оценивать; расценивать как|«als Erfolg werten» = расценить как успех|Как ты оцениваешь результат?
bewerten|оценивать, ставить оценку|«eine Leistung bewerten» — школа и магазины приложений|Оцените, пожалуйста, наш сервис.
auswerten|анализировать, обрабатывать (данные)|«die Umfrage auswerten» = обработать опрос|Данные ещё обрабатывают.
abwerten|обесценивать; принижать|«eine Währung abwerten» = девальвировать валюту; «jemanden abwerten» = принижать кого-то|Валюту девальвировали.
aufwerten|повышать ценность, облагораживать|«das Viertel aufwerten» — джентрификация|Награда повышает статус проекта.
verwerten|использовать, перерабатывать|«Abfall verwerten» = перерабатывать отходы; «Informationen verwerten» = использовать сведения|Остаткам можно найти применение.
entwerten|компостировать (билет); обесценивать|«den Fahrschein entwerten» — трамваи|Прокомпостируйте, пожалуйста, билет.

=zahlen|платить
zahlen|платить|«zahlen, bitte!» = счёт, пожалуйста|Я плачу наличными.
bezahlen|оплачивать, платить кому-л.|«hast du schon bezahlt?» — более полный бытовой глагол|Он оплатил счёт.
auszahlen|выплачивать; окупаться (sich auszahlen)|«das zahlt sich aus» = это окупается|Зарплату выплатят завтра.
einzahlen|вносить (на счёт)|«Geld einzahlen» — банковская касса|Я вношу 500 евро.
zurückzahlen|возвращать (деньги)|«ich zahle es dir zurück» = я тебе верну|Он выплачивает кредит.
anzahlen|вносить первый взнос|«das Auto anzahlen» = внести первый взнос за машину|Мы внесли двадцать процентов.
nachzahlen|доплачивать|«Steuern nachzahlen» — налоговые доначисления|Мне пришлось доплатить 300 евро.
abzahlen|выплачивать в рассрочку|«den Kredit abzahlen» = выплачивать кредит|Мы выплачиваем дом.
zuzahlen|доплачивать (свою часть)|немецкий из медицинского страхования|Вам нужно доплатить десять евро.

=zählen|считать
zählen|считать; засчитываться, иметь значение|«das zählt nicht!» = это не считается|Он считает до десяти.
erzählen|рассказывать|«erzähl mal!» = рассказывай|Расскажи о поездке.
aufzählen|перечислять|«alle Gründe aufzählen» = перечислить все причины|Он перечислил преимущества.
abzählen|отсчитывать|«an den Fingern abzählen» = считать по пальцам|Отсчитай сдачу.
mitzählen|считаться, идти в зачёт|«zählt das mit?» = это засчитывается?|Испытательный срок засчитывается.
nachzählen|пересчитывать|«noch mal nachzählen» = пересчитать ещё раз|Пересчитайте, пожалуйста.
zusammenzählen|складывать, суммировать|«alles zusammenzählen» = сложить всё вместе|Сложи суммы.
dazuzählen|прибавлять, включать в счёт|«die Kinder dazuzählen» = посчитать и детей|Прибавь сбор.

=packen|хватать; паковать
packen|хватать, хвать; паковать, справляться (разг.)|«ich pack das nicht» = я не справляюсь, не могу это осилить|Она хватает его за руку.
einpacken|упаковывать, паковать (чемодан, подарок)|«du kannst einpacken» = можешь сворачиваться, тут ловить нечего|Я укладываю чемоданы.
auspacken|распаковывать; расколоться, всё выложить (полиции, прессе)|«er hat ausgepackt» = он раскололся, всё рассказал|Дети распаковывают подарки.
verpacken|упаковывать (товар)|стандартная фраза на упаковке: «verpackt und versandt» — упаковано и отправлено|Продукт упакован экологично.
anpacken|браться за дело, взяться (за проблему)|«mit anpacken» = включиться, подставить плечо|Нам нужно взяться за эту проблему.
zupacken|включаться в работу, не бояться труда|«kräftig zupacken» — так говорят о том, кто не боится тяжёлой работы|Она включается в работу, когда это нужно.

=lernen|учиться
lernen|учиться, учить|«lernen» — про школу и навыки, «studieren» — только про университет|Он каждый день учит слова.
erlernen|осваивать, изучать (навык; более официально, чем lernen)|резюме и описания курсов: «eine Sprache erlernen»|Она освоила ремесло за три года.
verlernen|разучиться, забыть (навык из-за отсутствия практики)|«das verlernt man nie» = это не забывается, как кататься на велосипеде|Я почти разучился танцевать.
anlernen|обучать (нового сотрудника), вводить в курс дела|про первую неделю на новой работе: «jemanden anlernen»|Мастер обучает новую стажёрку.
umlernen|переучиваться, осваивать что-то новое|про смену профессии: «beruflich umlernen müssen»|После увольнения ему пришлось переучиваться.
auslernen|завершить обучение (почти всегда с отрицанием)|устойчивое выражение «man lernt nie aus» = век живи — век учись|Век живи — век учись.

=schauen|смотреть
schauen|смотреть|южнонемецкий/австрийский/швейцарский вариант «gucken»; «schau mal!» = смотри-ка!|Смотри, как это красиво!
anschauen|смотреть, разглядывать (фильм и т.п.; sich etwas anschauen)|«schauen wir uns das an» — обычное предложение посмотреть что-то вместе|Мы смотрим сегодня вечером фильм.
zuschauen|наблюдать, смотреть (bei +D)|слово для зрителя на месте события, а не перед экраном|Дети наблюдают за мастерами.
wegschauen|отводить взгляд, закрывать глаза (на происходящее)|моральный регистр: «wegschauen, wenn etwas Schlimmes passiert»|Многие просто отвели взгляд.
vorbeischauen|заскочить, заглянуть (в гости)|обычный способ сказать, что зайдёшь; спрягается с sein, как и «зайти»|Я позже загляну к тебе.
nachschauen|проверить, посмотреть (уточнить что-то)|«schau mal nach, ob…» — обычная просьба что-то проверить|Проверь, пожалуйста, закрыта ли дверь.

=bilden|образовывать; воспитывать
bilden|образовывать, составлять; воспитывать, развивать (ум)|«sich bilden» = заниматься самообразованием|Ученики образуют группу.
ausbilden|обучать (профессии), готовить (стажёров)|слово, стоящее за «Ausbildung» — используется в каждой вакансии|Фирма обучает десять стажёров.
fortbilden|повышать квалификацию (sich fortbilden)|чуть более официальный вариант, чем weiterbilden|Учителям нужно регулярно повышать квалификацию.
weiterbilden|повышать квалификацию, развиваться профессионально (sich weiterbilden)|обычное слово для курсов повышения квалификации|Я хочу профессионально развиваться.
umbilden|переформировать (кабинет министров), реорганизовать|политическая лексика: «die Regierung umbilden»|Президент переформировывает кабинет министров.
einbilden|воображать, внушать себе (почти всегда с sich: sich etwas einbilden)|«eingebildet» как прилагательное = самовлюблённый, много о себе понимающий|Ты просто себе это вообразил.

=kochen|готовить; варить
kochen|готовить; варить, кипеть|«ich koche» = я готовлю ужин, обычный способ это сказать|Она готовит для семьи каждый вечер.
abkochen|кипятить (воду) для обеззараживания|туристическая и походная лексика: «Wasser abkochen» перед тем как пить|В лагере нам приходится кипятить воду.
verkochen|перевариться, выкипеть, развариться|кухонная неудача: «die Kartoffeln sind verkocht»|Суп совсем разварился.
auskochen|стерилизовать кипячением; замышлять, придумывать план (разг.)|«was hast du da wieder ausgekocht?» = что ты опять задумал?|Они вдвоём придумали план.
einkochen|консервировать, закатывать (фрукты, овощи)|традиционное кухонное слово: «Marmelade einkochen»|Моя бабушка каждое лето варит варенье на зиму.
